timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1600430400,"Пятница, 18 сентября
12:00 (UTC)",,,12.0,,,,,,,,20,740,,,27.7,,43.6,,,западный,9,,,4
1600441200,"Пятница, 18 сентября
15:00 (UTC)",,,13.0,0,,,,,,,20,740,,,24.4,,55.1,,,западный,7,,27.7,3
1600452000,"Пятница, 18 сентября
18:00 (UTC)",,,,,,,,,,,20,741,,,21.1,,68.6,,,западный,9,,,3
1600462800,"Пятница, 18 сентября
21:00 (UTC)",,,,,,,,,,,20,742,,,17.7,,65.7,,,западный,10,,,3
1600473600,"Суббота, 19 сентября
00:00 (UTC)",,,,,,,,,,,20,743,,,15.4,,60.1,,,западный,9,,,2
1600484400,"Суббота, 19 сентября
03:00 (UTC)",,,,0,,,0,,,,20,743,,,12.8,,59.9,12.8,,западный,7,,,1
1600495200,"Суббота, 19 сентября
06:00 (UTC)",,,,,,,,,,,20,745,,,15.1,,49.4,12.0,,северо-западный,0,,,3
1600506000,"Суббота, 19 сентября
09:00 (UTC)",,,,,,,,,,,20,745,,,17.2,,46.4,,,северо-западный,2,,,3
1600516800,"Суббота, 19 сентября
12:00 (UTC)",,,,,,,,,,,20,745,,,18.1,,45.0,,,западный,1,,,3
1600527600,"Суббота, 19 сентября
15:00 (UTC)",,,,0,,,,,,,20,745,,,15.1,,55.3,,,западный,1,,18.4,2
1600538400,"Суббота, 19 сентября
18:00 (UTC)",,,,,,,,,,,20,746,,,8.8,,86.7,,,юго-западный,0,,,1
1600549200,"Суббота, 19 сентября
21:00 (UTC)",,,,,,,,,,,10,746,,,7.6,,93.4,,,южный,0,,,1
1600560000,"Воскресенье, 20 сентября
00:00 (UTC)",,,,,,,,,,,20,746,,,8.8,,86.1,,,южный,0,,,2
1600570800,"Воскресенье, 20 сентября
03:00 (UTC)",,,,0,,,0,,,,20,745,,,7.7,,87.8,7.2,,юго-восточный,0,,,1
1600581600,"Воскресенье, 20 сентября
06:00 (UTC)",,,,,,,,,,,20,746,,,14.4,,62.4,,,юго-восточный,0,,,1
1600592400,"Воскресенье, 20 сентября
09:00 (UTC)",,,,,,,,,,,20,745,,,19.9,,46.5,,,северный,0,,,2
1600603200,"Воскресенье, 20 сентября
12:00 (UTC)",,,,,,,,,,,20,745,,,22.2,,39.0,,,северный,0,,,1
1600614000,"Воскресенье, 20 сентября
15:00 (UTC)",,,,0,,,,,,,20,745,,,19.6,,46.4,,,северный,1,,22.5,2
1600624800,"Воскресенье, 20 сентября
18:00 (UTC)",,,,,,,,,,,20,746,,,11.2,,80.7,,,юго-восточный,0,,,1
1600635600,"Воскресенье, 20 сентября
21:00 (UTC)",,,,,,,,,,,20,746,,,11.8,,83.0,,,юго-восточный,0,,,1
1600646400,"Понедельник, 21 сентября
00:00 (UTC)",,,,,,,,,,,20,746,,,10.1,,83.9,,,юго-восточный,0,,,1
1600657200,"Понедельник, 21 сентября
03:00 (UTC)",,,,0,,,0,,,,20,746,,,8.3,,87.8,7.0,,юго-восточный,0,,,1
1600668000,"Понедельник, 21 сентября
06:00 (UTC)",,,,,,,,,,,20,746,,,17.3,,48.7,,,восточный,0,,,3
1600678800,"Понедельник, 21 сентября
09:00 (UTC)",,,,,,,,,,,20,745,,,23.9,,28.6,,,северо-восточный,0,,,4
1600689600,"Понедельник, 21 сентября
12:00 (UTC)",,,,,,,,,,,20,745,,,25.4,,24.5,,,северо-восточный,0,,,3
1600700400,"Понедельник, 21 сентября
15:00 (UTC)",,,,0,,,,,,,20,744,,,21.8,,28.2,,,северо-восточный,0,,25.5,2
1600711200,"Понедельник, 21 сентября
18:00 (UTC)",,,,,,,,,,,20,745,,,11.6,,57.9,,,северо-восточный,0,,,1
1600722000,"Понедельник, 21 сентября
21:00 (UTC)",,,,,,,,,,,20,745,,,12.1,,76.5,,,южный,0,,,2
1600732800,"Вторник, 22 сентября
00:00 (UTC)",,,,,,,,,,,20,745,,,9.5,,84.4,,,южный,0,,,1
1600743600,"Вторник, 22 сентября
03:00 (UTC)",,,,0,,,0,,,,20,746,,,7.7,,89.0,7.7,,южный,0,,,1
